case_id,phone_hash,bank_hash,upi_hash,sim_hash,vehicle_hash,weapon_type,digital_artifact_hash
"KA-202501-000003","PH-65B888C451","BK-591AD53412","UPI-4DE218C9F1","SIM-AC8D9EB6AF","","","DA-BEC65F82F3"
"KA-202501-000006","PH-27315F7C51","BK-5522659C4F","UPI-4B9C7A87B3","SIM-D8500195E5","","","DA-0AB94A9C3F"
"KA-202501-000009","PH-0542B1DDE6","BK-66169AE7F6","UPI-60FFA606C3","SIM-20A098EC9A","","","DA-17468C47CD"
"KA-202501-000012","PH-A767BFEC63","BK-FA5D25B4F9","UPI-656414EFD8","SIM-AF186B1611","","","DA-D008CA4BE9"
"KA-202501-000015","PH-1B8C0D3F09","BK-21F19E1FB1","UPI-F5FB2FFEFE","SIM-608DDD6586","","","DA-4DB68A4163"
"KA-202501-000018","PH-6386FFB0D7","BK-196B2C2BB9","UPI-DC29931E2B","SIM-6C99A96CCF","","","DA-54121C3947"
"KA-202501-000021","PH-EA03D64497","BK-2367979DB6","UPI-D9DE1FA4FB","SIM-6CD5F9600E","","","DA-22FF4B5C7B"
"KA-202501-000024","PH-42D7572DF7","BK-2130309EB1","UPI-37CA755EFD","SIM-02C72AEA1C","","","DA-0A47AE11E2"
"KA-202501-000027","PH-6C307C1FBD","BK-1690A4B05E","UPI-891B2275B6","SIM-EFC1D04DFD","","","DA-DBD0F62134"
"KA-202501-000030","PH-310A1B7B0C","BK-5EC6621753","UPI-F4338E72E6","SIM-8110E40349","","","DA-25AE5315BC"
"KA-202501-000033","PH-3A5B030922","BK-67F2BA9C13","UPI-BC60D74783","SIM-4915FC384E","","","DA-806990E571"
"KA-202501-000036","PH-1BBF1012D1","BK-18DA3C127A","UPI-08D6548461","SIM-DD755EB72A","","","DA-A1D86F7F01"
"KA-202501-000039","PH-095F24E6DD","BK-4D77EF5157","UPI-B376309A12","SIM-7F7C48CE74","","","DA-89CE36740E"
"KA-202501-000042","PH-4A4E354C45","BK-6A4BC28028","UPI-479D067862","SIM-1086C75AE4","","","DA-BD903C3730"
"KA-202501-000045","PH-6B8DCE59B0","BK-5B071025F3","UPI-2EEA99BB00","SIM-7EAB1CD7E2","","","DA-86AD0DFB2C"
"KA-202501-000048","PH-97F6A6B94D","BK-8FD168A22E","UPI-04E9587335","SIM-B45F07938A","","","DA-CA5DCDD235"
"KA-202501-000051","PH-F160E76AE1","BK-4D6EA51E0E","UPI-3D7FA1036A","SIM-EE0F307456","","","DA-99D878213A"
"KA-202501-000054","PH-5C6A16AFED","BK-34DA4406DA","UPI-C4FF633086","SIM-3E80CD1483","","","DA-DA44CCA8B7"
